mine_id,name,source,deposit_type,rock_type,lat,lon,swir_b11_absorption,swir_b12_absorption,ndvi,land_surface_temp_c,rainfall_mm_weekly,soil_moisture,emag2_anomaly_nt,elevation_m,mn_grade_pct,ibm_ore_category,has_manganese
MN_017_EXT,Bhagwanpura Block - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Braunite_Series,21.8263,80.0231,0.807,0.709,0.276,34.5,42.8,0.267,473.8,426.0,35.8,Marketable_Saleable,1
MN_055,Ramgad Low-Grade Body,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,15.14,76.62,0.711,0.63,0.269,36.9,32.5,0.232,333.1,783.0,21.5,Beneficiable_MR_Ore,1
WASTE_0101,IndoGangetic_Alluvium_Barren_19,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,27.4897,83.2003,0.317,0.271,0.452,32.3,46.6,0.416,75.1,192.0,1.7,Overburden_Waste,0
WASTE_0120,Aravalli_Quartzite_Marble_16,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Marble,26.6076,74.0432,0.221,0.202,0.637,32.0,67.5,0.387,75.3,366.0,3.0,Overburden_Waste,0
WASTE_0015,Sausar_Calc_Silicate_Barren_15,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5461,78.7932,0.417,0.377,0.462,29.8,40.5,0.431,164.9,366.0,3.5,Overburden_Waste,0
MN_005_EXT,Munsar / Mansar Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,21.1405,79.2413,0.822,0.744,0.272,36.4,46.2,0.255,503.6,414.0,38.9,Marketable_Saleable,1
WASTE_0007,Sausar_Calc_Silicate_Barren_7,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5939,78.699,0.455,0.412,0.571,33.3,70.6,0.503,136.8,344.0,2.1,Overburden_Waste,0
WASTE_0064,Deccan_Basalt_WesternGhats_2,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,17.1568,74.7564,0.232,0.211,0.409,32.5,69.8,0.542,58.2,646.0,3.4,Overburden_Waste,0
WASTE_0005,Sausar_Calc_Silicate_Barren_5,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5113,79.1966,0.426,0.375,0.467,35.8,54.4,0.447,179.3,358.0,3.3,Overburden_Waste,0
WASTE_0016,Sausar_Calc_Silicate_Barren_16,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.7007,78.9956,0.429,0.371,0.358,30.7,63.5,0.37,171.9,393.0,6.6,Overburden_Waste,0
WASTE_0082,Deccan_Basalt_WesternGhats_20,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.6221,73.7896,0.228,0.188,0.439,30.4,90.7,0.264,63.1,630.0,1.7,Overburden_Waste,0
MN_047,Patmunda Beneficiable Ore,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.87,85.31,0.706,0.63,0.304,36.3,32.4,0.206,348.1,527.0,23.5,Beneficiable_MR_Ore,1
WASTE_0083,IndoGangetic_Alluvium_Barren_1,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,28.4796,83.392,0.254,0.226,0.422,34.4,37.6,0.425,56.7,159.0,1.6,Overburden_Waste,0
WASTE_0070,Deccan_Basalt_WesternGhats_8,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.1413,75.8268,0.373,0.315,0.523,33.1,94.8,0.369,61.6,688.0,1.9,Overburden_Waste,0
MN_022,Netra Beneficiable Block,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.88,80.12,0.718,0.618,0.321,35.8,43.6,0.212,361.3,390.0,22.0,Beneficiable_MR_Ore,1
WASTE_0071,Deccan_Basalt_WesternGhats_9,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,19.7453,75.0991,0.212,0.191,0.622,30.2,108.8,0.292,64.8,707.0,2.8,Overburden_Waste,0
MN_034,Chhindwara Node,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,22.05,78.93,0.767,0.666,0.263,36.5,44.5,0.226,413.6,673.0,27.5,Marketable_Saleable,1
MN_046,Koira Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.93,85.24,0.751,0.666,0.282,36.0,32.9,0.244,415.9,553.0,28.0,Marketable_Saleable,1
MN_060_EXT,Vizag Mn Zone - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,18.108,83.2112,0.722,0.647,0.268,36.9,41.9,0.248,431.8,116.0,25.0,Marketable_Saleable,1
WASTE_0003,Sausar_Calc_Silicate_Barren_3,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5974,79.0802,0.433,0.4,0.528,35.3,50.8,0.437,162.2,370.0,6.9,Overburden_Waste,0
WASTE_0123,Southern_Sedimentary_Barren_1,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,12.8528,78.0379,0.337,0.288,0.505,30.1,97.7,0.254,55.8,72.0,1.0,Overburden_Waste,0
WASTE_0129,Southern_Sedimentary_Barren_7,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,13.8511,77.7041,0.227,0.192,0.584,32.6,46.0,0.493,64.1,174.0,0.6,Overburden_Waste,0
WASTE_0067,Deccan_Basalt_WesternGhats_5,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.3869,74.7353,0.31,0.275,0.488,28.4,94.0,0.31,86.4,692.0,0.3,Overburden_Waste,0
WASTE_0099,IndoGangetic_Alluvium_Barren_17,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,28.7605,80.405,0.258,0.216,0.639,31.1,37.9,0.259,42.5,206.0,0.9,Overburden_Waste,0
MN_024,Waraseoni Low-Grade Horizon,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.75,80.02,0.69,0.616,0.247,34.3,45.8,0.216,318.0,385.0,19.5,Beneficiable_MR_Ore,1
MN_039_EXT,Kasia Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,22.0532,85.4257,0.791,0.699,0.299,36.8,41.0,0.24,492.7,516.0,34.2,Marketable_Saleable,1
MN_035,Tirodi South Beneficiation Wing,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.57,79.68,0.673,0.595,0.311,35.7,33.2,0.228,315.5,389.0,18.5,Beneficiable_MR_Ore,1
MN_038_EXT,Barbil Deposit - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,22.1248,85.3886,0.783,0.721,0.357,34.0,45.7,0.285,490.2,481.0,34.1,Marketable_Saleable,1
WASTE_0077,Deccan_Basalt_WesternGhats_15,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.9024,73.8788,0.315,0.271,0.607,29.8,97.8,0.334,37.7,502.0,2.4,Overburden_Waste,0
WASTE_0138,Southern_Sedimentary_Barren_16,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,10.1796,79.5547,0.228,0.198,0.523,30.9,94.1,0.325,141.8,240.0,1.9,Overburden_Waste,0
MN_023_EXT,Jamrapani Beneficiable Ore - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,21.9171,80.1794,0.712,0.633,0.322,33.9,35.3,0.266,422.8,383.0,22.9,Beneficiable_MR_Ore,1
MN_056_EXT,Donimalai North Beneficiable - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,15.0749,76.6349,0.71,0.618,0.323,37.0,49.7,0.271,382.6,890.0,17.9,Beneficiable_MR_Ore,1
MN_031,Nagbhir Belt,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,20.55,79.51,0.77,0.699,0.276,36.2,44.1,0.256,410.1,368.0,28.0,Marketable_Saleable,1
WASTE_0078,Deccan_Basalt_WesternGhats_16,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.9286,75.5825,0.283,0.242,0.546,35.5,100.3,0.48,33.7,541.0,0.8,Overburden_Waste,0
WASTE_0004,Sausar_Calc_Silicate_Barren_4,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.6842,79.0865,0.372,0.337,0.641,29.4,99.1,0.398,138.0,366.0,6.9,Overburden_Waste,0
MN_016,Ramrama Deposit,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.45,79.15,0.756,0.689,0.289,35.0,40.3,0.192,411.3,383.0,32.5,Marketable_Saleable,1
MN_012,Sausar North Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.64,78.78,0.75,0.681,0.302,36.3,35.1,0.24,403.3,366.0,28.5,Marketable_Saleable,1
MN_013,Sausar South Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.58,78.72,0.762,0.674,0.312,35.8,40.1,0.224,386.8,369.0,26.5,Marketable_Saleable,1
MN_064_EXT,Devada Low-Grade Body - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,18.2635,83.5892,0.673,0.626,0.305,34.2,46.7,0.265,362.6,73.0,14.8,Beneficiable_MR_Ore,1
