site_id,name,latitude,longitude,commodity,mn_label,label_confidence,region_group,rock_type,source,source_url,notes
MN_BALAGHAT,Balaghat Mine,21.81,80.19,manganese,1,high,Central_India,Braunite_Magnetite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL flagship mine
MN_UKWA,Ukwa Mine,21.95,80.05,manganese,1,high,Central_India,Psilomelane_Hematite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_GUMGAON,Gumgaon Mine,21.05,79.10,manganese,1,high,Central_India,Gondite_Braunite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_KANDRI,Kandri Mine,21.20,79.30,manganese,1,high,Central_India,Hematite_Gondite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_DONGRI,Dongri Buzurg Mine,21.55,79.72,manganese,1,high,Central_India,Braunite_Pyrolusite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_MANSAR,Mansar Mine,21.40,79.28,manganese,1,high,Central_India,Manganiferous_Quartzite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_TIRODI,Tirodi Mine,21.68,79.71,manganese,1,high,Central_India,Braunite_Psilomelane,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_CHIKLA,Chikla Mine,21.56,79.76,manganese,1,high,Central_India,Braunite_Gondite,MOIL reference,https://moil.nic.in/,Known Mn reference site; MOIL mine
MN_SANDUR,Sandur manganese belt,15.1000,76.5500,manganese,1,medium,Dharwar,Gondite_Braunite,Public geological reference,https://ibm.gov.in/,Mn belt reference; verify lease geometry
MN_KEONJHAR,Keonjhar manganese belt,21.6200,85.5800,manganese,1,medium,Odisha,Gondite_Braunite,Public geological reference,https://ibm.gov.in/,Mn belt reference; verify lease geometry
COAL_GEVRA,Gevra coal mine,22.336312,82.545748,coal,0,high,Central_India,Coal_Measures,Public mine reference,https://www.gem.wiki/Gevra_Coal_Mine,Coal context; point is approximate until lease polygon is loaded
COAL_KORBA,Korba coal basin,22.3500,82.6800,coal,0,medium,Central_India,Coal_Measures,Public geological reference,https://coal.gov.in/,Coal basin context; not a lease boundary
COAL_SINGRAULI,Singrauli coal basin,24.2000,82.6500,coal,0,medium,East_Central_India,Coal_Measures,Public geological reference,https://coal.gov.in/,Coal basin context; not a lease boundary
IRON_BAILADILA,Bailadila iron ore complex,18.7000,81.2000,iron_ore,0,high,Bastar,Hematite_Iron_Formation,Public geological reference,https://ibm.gov.in/,Iron ore context; point is approximate until lease polygon is loaded
IRON_DANTEWADA,Dantewada iron ore district,18.9000,81.3500,iron_ore,0,medium,Bastar,Hematite_Iron_Formation,Public geological reference,https://ibm.gov.in/,District-level reference; do not treat as a full district exclusion
IRON_BARABIL,Barabil iron ore region,22.1000,85.1500,iron_ore,0,medium,Odisha,Hematite_Iron_Formation,Public geological reference,https://ibm.gov.in/,Iron-rich region near Mn occurrences; requires polygon/depth context
OTHER_BASTAR_BASALT,Bastar non-mineral reference,19.0500,81.8500,other_or_barren,0,medium,Bastar,Deccan_Basalt,Stratified reference sample,https://geodataindia.gov.in/,Use as non-Mn context only after real features are downloaded
