mine_id,name,source,deposit_type,rock_type,lat,lon,swir_b11_absorption,swir_b12_absorption,ndvi,land_surface_temp_c,rainfall_mm_weekly,soil_moisture,emag2_anomaly_nt,elevation_m,mn_grade_pct,ibm_ore_category,has_manganese,craton_province,commodity,label_confidence,region_group,source_url,is_synthetic
MN_017_EXT,Bhagwanpura Block - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Braunite_Series,21.8263,80.0231,0.807,0.709,0.276,34.5,42.8,0.267,473.8,426.0,35.8,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_055,Ramgad Low-Grade Body,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,15.14,76.62,0.711,0.63,0.269,36.9,32.5,0.232,333.1,783.0,21.5,Beneficiable_MR_Ore,1,Dharwar,manganese,prototype_positive,Dharwar,,True
WASTE_0101,IndoGangetic_Alluvium_Barren_19,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,27.4897,83.2003,0.317,0.271,0.452,32.3,46.6,0.416,75.1,192.0,1.7,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0120,Aravalli_Quartzite_Marble_16,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Marble,26.6076,74.0432,0.221,0.202,0.637,32.0,67.5,0.387,75.3,366.0,3.0,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0015,Sausar_Calc_Silicate_Barren_15,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5461,78.7932,0.417,0.377,0.462,29.8,40.5,0.431,164.9,366.0,3.5,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_005_EXT,Munsar / Mansar Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,21.1405,79.2413,0.822,0.744,0.272,36.4,46.2,0.255,503.6,414.0,38.9,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0007,Sausar_Calc_Silicate_Barren_7,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5939,78.699,0.455,0.412,0.571,33.3,70.6,0.503,136.8,344.0,2.1,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0064,Deccan_Basalt_WesternGhats_2,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,17.1568,74.7564,0.232,0.211,0.409,32.5,69.8,0.542,58.2,646.0,3.4,Overburden_Waste,0,Dharwar,unknown_non_mn,synthetic_or_unverified,Dharwar,,True
WASTE_0005,Sausar_Calc_Silicate_Barren_5,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5113,79.1966,0.426,0.375,0.467,35.8,54.4,0.447,179.3,358.0,3.3,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0016,Sausar_Calc_Silicate_Barren_16,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.7007,78.9956,0.429,0.371,0.358,30.7,63.5,0.37,171.9,393.0,6.6,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
