mine_id,latitude,longitude,swir_b11_absorption,swir_b12_absorption,ndvi,land_surface_temp_c,rainfall_mm_weekly,soil_moisture,emag2_anomaly_nt,rock_type,elevation_m
MN_001,21.8167,80.1833,0.82,0.74,0.28,36.5,38,0.22,510,Gondite_Braunite,412
MN_002,21.9500,80.0500,0.79,0.71,0.31,35.8,42,0.24,480,Gondite_Braunite,398
MN_003,21.0500,79.1000,0.85,0.77,0.26,37.2,29,0.19,560,Gondite_Braunite,445
MN_004,21.2000,79.3000,0.78,0.69,0.33,35.1,45,0.26,430,Hematite_Gondite,388
MN_005,21.1500,79.2500,0.80,0.72,0.30,36.0,41,0.23,495,Gondite_Braunite,402
MN_006,21.1000,79.1500,0.83,0.75,0.27,36.8,33,0.20,528,Gondite_Braunite,421
MN_007,21.1200,79.2000,0.81,0.73,0.29,36.2,37,0.22,502,Gondite_Braunite,408
MN_008,21.6000,79.7000,0.77,0.68,0.34,34.9,48,0.27,415,Gondite_Braunite,375
MN_009,21.1800,79.2800,0.79,0.71,0.32,35.5,43,0.25,465,Hematite_Gondite,391
MN_010,21.1600,79.2600,0.82,0.74,0.28,36.4,36,0.21,508,Gondite_Braunite,415
MN_011,21.1350,79.2150,0.80,0.72,0.30,35.9,40,0.23,490,Gondite_Braunite,404
MN_012,21.6400,78.7800,0.76,0.67,0.35,34.6,50,0.28,398,Gondite_Series,368
MN_013,21.5800,78.7200,0.75,0.66,0.36,34.3,52,0.29,382,Gondite_Series,361
MN_014,21.7200,79.3500,0.84,0.76,0.27,36.9,31,0.20,542,Braunite_Series,432
MN_015,21.5000,79.0200,0.78,0.70,0.32,35.3,44,0.25,448,Mansar_Formation,385
MN_016,21.4500,79.1500,0.77,0.68,0.33,35.0,46,0.26,420,Gondite_Series,372
MN_017,21.8500,80.0000,0.83,0.75,0.28,36.6,35,0.21,522,Braunite_Series,418
MN_018,21.7800,79.9200,0.81,0.73,0.29,36.1,39,0.22,498,Gondite_Series,406
MN_019,21.9000,80.2500,0.79,0.71,0.31,35.7,41,0.24,472,Gondite_Series,395
MN_020,20.2300,79.0100,0.74,0.65,0.37,34.1,54,0.30,365,Braunite_Series,355
MN_021,22.0200,84.9500,0.76,0.67,0.35,34.5,49,0.27,390,Gondite_Series,365
MN_022,22.1000,85.1500,0.78,0.70,0.33,35.2,43,0.25,445,Braunite_Series,382
MN_023,21.6200,85.5800,0.75,0.66,0.36,34.4,51,0.28,378,Gondite_Series,358
MN_024,15.1000,76.5500,0.80,0.72,0.30,38.2,28,0.18,500,Gondite_Series,425
MN_025,15.2700,76.3900,0.82,0.74,0.28,38.8,24,0.16,520,Braunite_Series,438
MN_026,18.1200,83.2000,0.77,0.69,0.34,36.8,46,0.26,412,Gondite_Series,378
MN_027,18.3000,83.8900,0.76,0.67,0.35,36.5,48,0.27,395,Gondite_Series,365
MN_028,22.4200,73.1800,0.73,0.64,0.38,35.8,58,0.32,342,Gondite_Series,340
MN_029,21.3800,80.4800,0.79,0.71,0.32,35.6,42,0.24,468,Braunite_Series,392
MN_030,21.5200,79.5600,0.78,0.70,0.33,35.2,44,0.25,445,Gondite_Series,382
MN_031,20.6000,79.8600,0.75,0.66,0.36,34.4,52,0.29,380,Gondite_Series,360
MN_032,20.5500,79.5100,0.74,0.65,0.37,34.2,54,0.30,362,Gondite_Series,352
MN_033,20.4000,78.1200,0.76,0.68,0.35,34.7,49,0.27,395,Braunite_Series,368
MN_034,21.9200,77.9000,0.77,0.69,0.34,35.0,46,0.26,415,Gondite_Series,375
MN_035,22.0500,78.9300,0.79,0.71,0.32,35.5,43,0.25,462,Gondite_Series,389
